Topic,Articles
bipolar,"['https://www.betterhelp.com/advice/bipolar/am-i-bipolar-8-signs-of-being-bipolar/', 'https://www.betterhelp.com/advice/bipolar/how-to-treat-bipolar-disorder-in-4-steps/', 'https://www.betterhelp.com/advice/bipolar/what-does-bipolar-narcissist-mean-and-how-can-i-protect-myself/', 'https://www.betterhelp.com/advice/bipolar/8-symptoms-of-cyclothymic-disorder-and-when-to-seek-help/', 'https://www.betterhelp.com/advice/bipolar/what-happens-in-the-manic-phase-of-bipolar-disorder/', 'https://www.betterhelp.com/advice/bipolar/am-i-manic-meaning-signs-and-next-steps/', 'https://www.betterhelp.com/advice/bipolar/bipolar-disorder-statistics-how-many-people-does-it-affect/', 'https://www.betterhelp.com/advice/bipolar/how-do-you-define-mania-and-what-are-the-symptoms/', 'https://www.betterhelp.com/advice/bipolar/does-ect-cause-bipolar-memory-loss/', 'https://www.betterhelp.com/advice/bipolar/do-natural-remedies-for-bipolar-disorder-exist/', 'https://www.betterhelp.com/advice/bipolar/can-you-hurt-people-during-mania-does-a-bipolar-person-know-right-from-wrong/', 'https://www.betterhelp.com/advice/bipolar/how-accurate-is-an-online-bipolar-quiz/']"
body-dysmorphic-disorder,"['https://www.betterhelp.com/advice/body-dysmorphic-disorder/coping-with-body-image-issues-in-the-modern-world/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/what-is-body-dysmorphic-disorder-definition-criteria-diagnosis/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/why-taking-a-body-dysmorphia-test-can-help-you-start-getting-the-help-you-need/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/what-everyone-should-know-about-social-media-and-body-image/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/the-link-between-body-image-and-the-media-and-its-damaging-effects/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/learning-to-love-your-physical-appearance/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/what-is-the-best-type-of-body-dysmorphic-disorder-treatment-for-me/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/what-is-body-dysmorphia-and-how-is-it-treated/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/can-muscle-dysmorphia-be-considered-an-eating-disorder/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/how-your-body-image-affects-you/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/help-why-do-i-hate-my-body/', 'https://www.betterhelp.com/advice/body-dysmorphic-disorder/why-dont-i-love-my-body-a-description-of-what-its-like-to-have-body-dysmorphic-disorder/']"
body-language,"['https://www.betterhelp.com/advice/body-language/what-is-non-verbal-communication-and-why-does-it-matter/', 'https://www.betterhelp.com/advice/body-language/7-universal-facial-expressions-what-do-they-mean/', 'https://www.betterhelp.com/advice/body-language/how-to-tell-if-someone-is-lying-body-language-tells-you-what-they-wont/', 'https://www.betterhelp.com/advice/body-language/a-body-language-guide-15-common-nonverbal-cues/', 'https://www.betterhelp.com/advice/body-language/the-role-of-body-language-in-communication/', 'https://www.betterhelp.com/advice/body-language/how-to-tell-if-a-guy-likes-you-body-language-and-its-role-in-attraction/', 'https://www.betterhelp.com/advice/body-language/what-each-facial-expression-communicates-to-the-people-around-you/', 'https://www.betterhelp.com/advice/body-language/understanding-body-language-how-to-better-communicate-with-the-people-around-you/', 'https://www.betterhelp.com/advice/body-language/signs-he-secretly-likes-you-body-language-and-nonverbal-cues/', 'https://www.betterhelp.com/advice/body-language/flirting-body-language-being-sure-of-the-signs-you-send-before-making-your-move/', 'https://www.betterhelp.com/advice/body-language/understanding-body-language-in-social-settings/', 'https://www.betterhelp.com/advice/body-language/22-body-language-examples-and-what-they-show/']"
bullying,"['https://www.betterhelp.com/advice/bullying/what-to-do-when-teachers-bully-students-in-school/', 'https://www.betterhelp.com/advice/bullying/what-are-the-long-term-effects-of-bullying-and-how-do-you-overcome-them/', 'https://www.betterhelp.com/advice/bullying/how-to-stop-sibling-bullying-in-your-household/', 'https://www.betterhelp.com/advice/bullying/the-psychology-of-bullying-understanding-whats-behind-the-bully/', 'https://www.betterhelp.com/advice/bullying/how-to-stop-a-bully-from-hurting-you-and-others/', 'https://www.betterhelp.com/advice/bullying/how-to-handle-adult-bullying/', 'https://www.betterhelp.com/advice/bullying/how-to-address-bullying-at-work/', 'https://www.betterhelp.com/advice/bullying/how-to-deal-with-bullies-effectively/', 'https://www.betterhelp.com/advice/bullying/october-is-national-bullying-prevention-month-heres-how-you-can-get-involved/', 'https://www.betterhelp.com/advice/bullying/an-overview-of-general-bullying-facts/', 'https://www.betterhelp.com/advice/bullying/what-is-verbal-bullying-and-how-does-it-happen/', 'https://www.betterhelp.com/advice/bullying/the-body-language-definition-what-is-it-and-why-does-it-matter/']"
careers,"['https://www.betterhelp.com/advice/careers/what-is-imposter-syndrome-and-how-to-overcome-it/', 'https://www.betterhelp.com/advice/careers/define-burnout-in-the-workplace/', 'https://www.betterhelp.com/advice/careers/symptoms-of-burnout-and-how-to-combat-them/', 'https://www.betterhelp.com/advice/careers/why-work-burnout-happens-and-how-to-deal-with-it/', 'https://www.betterhelp.com/advice/careers/how-to-deal-with-stress-at-work-successfully/', 'https://www.betterhelp.com/advice/careers/can-i-learn-how-to-manage-stress-at-work/', 'https://www.betterhelp.com/advice/careers/four-ways-job-burnout-can-destroy-your-career/', 'https://www.betterhelp.com/advice/careers/10-popular-careers-with-a-psychology-degree/', 'https://www.betterhelp.com/advice/careers/considering-work-in-a-helping-profession-six-careers-in-psychology/', 'https://www.betterhelp.com/advice/careers/how-career-counselors-can-help-you-find-your-calling/', 'https://www.betterhelp.com/advice/careers/things-to-be-wary-of-before-pursuing-a-psychiatrist-career/', 'https://www.betterhelp.com/advice/careers/interested-in-pursuing-forensic-psychology-careers-here-are-five-or-more-options-to-consider/']"
chat,"['https://www.betterhelp.com/advice/chat/online-therapeutic-chat-alternatives/', 'https://www.betterhelp.com/advice/chat/the-dangers-of-private-chat-rooms-online/', 'https://www.betterhelp.com/advice/chat/how-do-i-know-if-i-am-addicted-to-private-chat-rooms-online/', 'https://www.betterhelp.com/advice/chat/the-dangers-of-text-chat-with-strangers/', 'https://www.betterhelp.com/advice/chat/the-pros-and-cons-of-video-chat-with-random-people/', 'https://www.betterhelp.com/advice/chat/what-are-the-most-helpful-chatrooms-online-free-websites/', 'https://www.betterhelp.com/advice/chat/top-places-to-chat-online-with-people/', 'https://www.betterhelp.com/advice/chat/is-it-normal-to-talk-to-random-people-online/', 'https://www.betterhelp.com/advice/chat/the-pros-and-cons-of-online-chat-rooms/', 'https://www.betterhelp.com/advice/chat/5-sure-fire-ways-to-talk-to-people-online/', 'https://www.betterhelp.com/advice/chat/is-it-healthy-to-chat-with-random-people-online/', 'https://www.betterhelp.com/advice/chat/is-a-depression-chat-room-right-for-me/']"
childhood,"['https://www.betterhelp.com/advice/childhood/add-in-children-why-medication-isnt-the-only-option/', 'https://www.betterhelp.com/advice/childhood/child-depression-how-can-i-know-if-my-child-is-depressed/', 'https://www.betterhelp.com/advice/childhood/what-are-the-short-and-long-term-psychological-effects-of-yelling-at-a-child/', 'https://www.betterhelp.com/advice/childhood/mental-health-and-safety-how-addiction-impacts-children-of-addicts/', 'https://www.betterhelp.com/advice/childhood/preparing-for-the-stages-of-early-childhood-development/', 'https://www.betterhelp.com/advice/childhood/signs-and-symptoms-of-childhood-schizophrenia/', 'https://www.betterhelp.com/advice/childhood/what-is-early-childhood-intervention-and-should-i-consider-it-for-my-child/', 'https://www.betterhelp.com/advice/childhood/how-does-childhood-trauma-affect-adulthood/', 'https://www.betterhelp.com/advice/childhood/4-ways-that-adverse-childhood-experiences-affect-adults/', 'https://www.betterhelp.com/advice/childhood/childhood-depression-prevalence-symptoms-and-treatment/', 'https://www.betterhelp.com/advice/childhood/cognitive-and-physical-early-childhood-development/', 'https://www.betterhelp.com/advice/childhood/what-is-project-safe-childhood-and-why-is-it-important/']"
counseling,"['https://www.betterhelp.com/advice/counseling/why-todays-couples-are-seeking-free-relationship-counseling-online/', 'https://www.betterhelp.com/advice/counseling/free-online-counseling-services-for-chronic-mental-health-symptoms-whats-the-catch/', 'https://www.betterhelp.com/advice/counseling/warning-signs-of-an-abusive-counselor/', 'https://www.betterhelp.com/advice/counseling/im-struggling-with-an-addiction-can-i-find-a-substance-abuse-counselor-near-me/', 'https://www.betterhelp.com/advice/counseling/where-can-i-find-domestic-violence-counseling-near-me/', 'https://www.betterhelp.com/advice/counseling/where-can-i-find-child-counselors-near-me/', 'https://www.betterhelp.com/advice/counseling/im-ready-to-find-drug-counseling-near-me-where-should-i-start/', 'https://www.betterhelp.com/advice/counseling/what-does-lpc-stand-for-in-counseling/', 'https://www.betterhelp.com/advice/counseling/finding-the-best-divorce-counseling-near-me/', 'https://www.betterhelp.com/advice/counseling/what-to-expect-in-a-counseling-session/', 'https://www.betterhelp.com/advice/counseling/reaching-out-for-help-where-can-i-find-teen-counseling-near-me/', 'https://www.betterhelp.com/advice/counseling/where-can-i-find-premarital-counseling-near-me/']"
dating,"['https://www.betterhelp.com/advice/dating/9-things-to-know-about-dating-someone-with-bpd/', 'https://www.betterhelp.com/advice/dating/11-signs-you-might-be-dating-an-alcoholic/', 'https://www.betterhelp.com/advice/dating/are-you-sabotaging-your-intimate-relationships-an-online-dating-coach-can-help/', 'https://www.betterhelp.com/advice/dating/what-does-teen-dating-violence-look-like/', 'https://www.betterhelp.com/advice/dating/speed-dating-advice-to-help-you-have-the-best-experience/', 'https://www.betterhelp.com/advice/dating/all-you-need-to-know-about-dating-a-woman-with-kids/', 'https://www.betterhelp.com/advice/dating/what-dating-scams-are-popular-and-how-to-avoid-them/', 'https://www.betterhelp.com/advice/dating/how-to-make-internet-dating-work-for-you/', 'https://www.betterhelp.com/advice/dating/8-tips-on-dating-someone-with-depression/', 'https://www.betterhelp.com/advice/dating/how-to-start-dating-at-different-stages-of-life/', 'https://www.betterhelp.com/advice/dating/things-to-know-when-dating-a-single-mom/', 'https://www.betterhelp.com/advice/dating/how-to-set-healthy-boundaries-in-dating/']"
defense-mechanisms,"['https://www.betterhelp.com/advice/defense-mechanisms/3-reasons-why-someone-may-have-a-conversion-defense-mechanism/', 'https://www.betterhelp.com/advice/defense-mechanisms/the-splitting-defense-mechanism-how-it-can-damage-your-relationships-without-you-knowing/', 'https://www.betterhelp.com/advice/defense-mechanisms/rationalization-defense-mechanism-or-logical-fallacy/', 'https://www.betterhelp.com/advice/defense-mechanisms/psychological-defense-mechanisms-you-may-see-in-therapy/', 'https://www.betterhelp.com/advice/defense-mechanisms/what-is-the-projection-defense-mechanism-and-how-it-works/', 'https://www.betterhelp.com/advice/defense-mechanisms/why-intellectualization-is-not-always-healthy/']"
dementia,"['https://www.betterhelp.com/advice/dementia/8-tests-for-finding-cognitive-errors-in-dementia-patients/', 'https://www.betterhelp.com/advice/dementia/dementia-statistics-you-need-to-know/', 'https://www.betterhelp.com/advice/dementia/vascular-dementia-symptoms-and-possible-treatments/', 'https://www.betterhelp.com/advice/dementia/subcortical-vascular-dementia-what-it-is-and-what-to-expect-if-you-have-it/', 'https://www.betterhelp.com/advice/dementia/the-pathophysiology-of-dementia-what-causes-it/', 'https://www.betterhelp.com/advice/dementia/what-is-diffuse-lewy-body-dementia/', 'https://www.betterhelp.com/advice/dementia/medications-for-dementia-can-help-significantly/', 'https://www.betterhelp.com/advice/dementia/dementia-praecox-definition-causes-symptoms-and-treatment/', 'https://www.betterhelp.com/advice/dementia/the-link-between-hearing-loss-and-dementia/', 'https://www.betterhelp.com/advice/dementia/dealing-with-dementia-how-to-help-someone-you-love/', 'https://www.betterhelp.com/advice/dementia/what-is-frontal-lobe-dementia/', 'https://www.betterhelp.com/advice/dementia/delirium-vs-dementia-understanding-the-differences/']"
Depression,"['https://www.betterhelp.com/advice/depression/how-to-diagnosis-depression-how-to-cope-after-a-diagnosis/', 'https://www.betterhelp.com/advice/depression/depression-in-older-adults-can-it-develop-after-retirement/', 'https://www.betterhelp.com/advice/depression/melatoin-depression-and-happiness-whats-the-connection/', 'https://www.betterhelp.com/advice/depression/minor-depression-is-there-such-a-thing/', 'https://www.betterhelp.com/advice/depression/understanding-facebook-depression-and-anxiety/', 'https://www.betterhelp.com/advice/depression/managing-depression-can-i-do-it-on-my-own/', 'https://www.betterhelp.com/advice/depression/depression-brain-scan-what-it-can-show/', 'https://www.betterhelp.com/advice/depression/what-should-i-know-about-dsm-v-depression/', 'https://www.betterhelp.com/advice/depression/is-there-a-cure-for-depression/', 'https://www.betterhelp.com/advice/depression/depression-in-the-elderly-causes-symptoms-and-precautions/', 'https://www.betterhelp.com/advice/depression/how-depression-symptoms-in-women-are-different-from-depression-symptoms-in-men/', 'https://www.betterhelp.com/advice/depression/what-is-major-depression-disorder/']"
domestic-violence,"['https://www.betterhelp.com/advice/domestic-violence/movies-about-depression-may-help-people-understand-the-illness-better/', 'https://www.betterhelp.com/advice/domestic-violence/resources-to-help-cope-with-domestic-violence-shelters-hotlines-groups-and-more/', 'https://www.betterhelp.com/advice/domestic-violence/where-to-look-for-online-domestic-violence-resources/', 'https://www.betterhelp.com/advice/domestic-violence/what-is-rainn/', 'https://www.betterhelp.com/advice/domestic-violence/how-can-we-help-male-victims-of-domestic-violence/', 'https://www.betterhelp.com/advice/domestic-violence/what-are-the-causes-of-domestic-violence/', 'https://www.betterhelp.com/advice/domestic-violence/domestic-violence-laws-and-how-they-can-help-you/', 'https://www.betterhelp.com/advice/domestic-violence/what-different-types-of-domestic-violence-are-there/', 'https://www.betterhelp.com/advice/domestic-violence/important-tips-for-domestic-violence-prevention/', 'https://www.betterhelp.com/advice/domestic-violence/how-to-help-survivors-and-victims-of-domestic-violence/', 'https://www.betterhelp.com/advice/domestic-violence/how-do-i-sign-up-for-domestic-violence-classes/', 'https://www.betterhelp.com/advice/domestic-violence/a-history-of-domestic-violence-how-much-have-things-changed/']"
eating-disorders,"['https://www.betterhelp.com/advice/eating-disorders/what-is-the-most-effective-anorexia-nervosa-treatment/', 'https://www.betterhelp.com/advice/eating-disorders/eating-disorder-recovery-learning-when-to-seek-help/', 'https://www.betterhelp.com/advice/eating-disorders/cant-stop-eating-how-you-can-overcome-binge-eating-disorder/', 'https://www.betterhelp.com/advice/eating-disorders/treatment-for-anorexia-ways-to-manage-and-overcome-anorexia/', 'https://www.betterhelp.com/advice/eating-disorders/but-im-not-skinny-how-anorexia-nervosa-is-typically-characterized-by-one-body-shape/', 'https://www.betterhelp.com/advice/eating-disorders/how-to-help-someone-with-an-eating-disorder-lending-support-and-leading-intervention/', 'https://www.betterhelp.com/advice/eating-disorders/how-do-you-define-binge-drinking-6-signs-and-symptoms/', 'https://www.betterhelp.com/advice/eating-disorders/how-to-overcome-food-addiction-eating-for-strength/', 'https://www.betterhelp.com/advice/eating-disorders/can-taking-an-eating-disorder-quiz-help-you-determine-if-you-truly-have-an-eating-disorder/', 'https://www.betterhelp.com/advice/eating-disorders/what-is-selective-eating-disorder/', 'https://www.betterhelp.com/advice/eating-disorders/eating-disorder-symptoms-what-to-look-for-in-your-loved-ones/', 'https://www.betterhelp.com/advice/eating-disorders/binge-eating-disorder-treatment-options/']"
family,"['https://www.betterhelp.com/advice/family/9-tips-for-adult-children-of-alcoholic-parents-who-want-to-help/', 'https://www.betterhelp.com/advice/family/family-roles-in-addiction-can-family-help-with-substance-abuse-challenges/', 'https://www.betterhelp.com/advice/family/22-blended-family-quotes-that-you-can-relate-to/', 'https://www.betterhelp.com/advice/family/what-is-structural-family-therapy-sft/', 'https://www.betterhelp.com/advice/family/improving-family-dynamics-and-communication/', 'https://www.betterhelp.com/advice/family/8-common-family-issues-and-how-to-solve-them/', 'https://www.betterhelp.com/advice/family/family-therapy-techniques-how-family-counseling-works/', 'https://www.betterhelp.com/advice/family/6-ways-to-thrive-as-a-blended-family/', 'https://www.betterhelp.com/advice/family/what-contributes-to-a-happy-family/', 'https://www.betterhelp.com/advice/family/how-to-deal-with-a-death-in-the-family/', 'https://www.betterhelp.com/advice/family/family-reunion-ideas-to-make-your-event-extra-special/', 'https://www.betterhelp.com/advice/family/why-am-i-always-fighting-with-my-family/']"
friendship,"['https://www.betterhelp.com/advice/friendship/what-to-do-when-having-no-friends-is-starting-to-get-to-you/', 'https://www.betterhelp.com/advice/friendship/important-tips-for-how-to-help-a-depressed-friend-in-need/', 'https://www.betterhelp.com/advice/friendship/symbols-of-friendship-around-the-world/', 'https://www.betterhelp.com/advice/friendship/how-to-end-a-friendship-amicably/', 'https://www.betterhelp.com/advice/friendship/the-poetry-of-relationships-8-friendship-poems-for-you-to-read/', 'https://www.betterhelp.com/advice/friendship/songs-about-friendship-that-you-can-relate-to/', 'https://www.betterhelp.com/advice/friendship/what-is-true-friendship/', 'https://www.betterhelp.com/advice/friendship/little-things-that-ruin-the-friendship/', 'https://www.betterhelp.com/advice/friendship/what-friendship-ended-with-quotes-and-memes-are-relatable-to-you/', 'https://www.betterhelp.com/advice/friendship/define-friend-a-good-understanding-of-the-friend-definition/', 'https://www.betterhelp.com/advice/friendship/the-true-friends-guide-how-to-be-a-good-friend/', 'https://www.betterhelp.com/advice/friendship/what-are-the-best-friendship-quotes/']"
